shadow_pick_id,source_run_key,operating_day_key,bt2_event_id,sm_fixture_id,sm_league_id,league_name,legacy_exclusion,shadow_native_exclusion,legacy_eligible,shadow_native_eligible
415,shadow-subset5-backfill-2026-03,2026-03-06,,19467851,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
428,shadow-subset5-backfill-2026-03,2026-03-06,,19425160,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
440,shadow-subset5-backfill-2026-03,2026-03-06,,19439512,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
403,shadow-subset5-backfill-2026-03,2026-03-07,,19433691,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
404,shadow-subset5-backfill-2026-03,2026-03-07,,19433694,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
405,shadow-subset5-backfill-2026-03,2026-03-07,,19433697,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
406,shadow-subset5-backfill-2026-03,2026-03-07,,19433698,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
407,shadow-subset5-backfill-2026-03,2026-03-07,,19433699,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
408,shadow-subset5-backfill-2026-03,2026-03-07,,19433692,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
416,shadow-subset5-backfill-2026-03,2026-03-07,,19467850,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
417,shadow-subset5-backfill-2026-03,2026-03-07,,19467852,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
418,shadow-subset5-backfill-2026-03,2026-03-07,,19467854,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
429,shadow-subset5-backfill-2026-03,2026-03-07,,19425153,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
430,shadow-subset5-backfill-2026-03,2026-03-07,,19425151,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
